what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317305988644
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317305991681
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317305994299
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1317305996087
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317306007536
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306010971
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1317306033765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.selectAll",1317306040756
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306068958
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306072203
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306083109
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306088444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306115377
started,bundle,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui",1317306117079
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1317306117102
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317306171658
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110518-0800,"org.eclipse.jdt.junit.core",1317306173013
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1317306174926
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317306183841
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306188795
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1317306188816
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1317306191294
started,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1317306191317
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1317306222221
closed,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1317306222221
